Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3556404;Interior;Vargem Grande do Sul;2,93E+03;5,78E+01;4,97E+03;2,00E+02
3556453;RMSP (exceto capital);Vargem Grande Paulista;1,59E+03;6,44E+01;4,75E+03;1,50E+02
3556503;Interior;Várzea Paulista;1,86E+03;6,72E+01;5,98E+03;1,55E+02
3556602;Interior;Vera Cruz;1,81E+03;8,55E+01;4,52E+03;2,76E+02
3556701;Interior;Vinhedo;3,74E+03;5,80E+01;1,01E+04;2,19E+02
3556800;Interior;Viradouro;3,22E+03;5,45E+01;8,45E+03;4,58E+02
3556909;Interior;Vista Alegre do Alto;3,17E+03;3,74E+01;1,13E+04;2,12E+02
3556958;Interior;Vitória Brasil;2,39E+03;0,00E+00;1,28E+04;5,11E+02
3557006;Interior;Votorantim;2,86E+03;9,51E+01;6,94E+03;3,47E+02
3557105;Interior;Votuporanga;7,26E+03;1,34E+02;1,06E+04;3,69E+02
3557154;Interior;Zacarias;5,31E+03;3,91E+01;5,20E+03;3,52E+02
3557204;Interior;Chavantes;1,78E+03;1,64E+01;9,96E+03;3,85E+02
3557303;Interior;Estiva Gerbi;1,75E+03;6,32E+01;5,61E+03;2,35E+02
