Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3509304;Interior;Cajobi;2,81E+03;6,93E+01;8,12E+03;2,47E+02
3509403;Interior;Cajuru;1,96E+03;5,84E+01;5,81E+03;1,71E+02
3509452;Interior;Campina do Monte Alegre;1,67E+03;0,00E+00;9,05E+03;4,30E+02
3509502;Interior;Campinas;3,69E+03;1,25E+02;6,29E+03;2,69E+02
3509601;Interior;Campo Limpo Paulista;1,89E+03;9,78E+01;5,88E+03;2,50E+02
3509700;Interior;Campos do Jordão;2,98E+03;6,38E+01;9,29E+03;2,27E+02
3509809;Interior;Campos Novos Paulista;3,26E+03;4,15E+01;3,18E+03;1,66E+02
3509908;Interior;Cananéia;2,71E+03;8,10E+01;4,62E+03;1,78E+02
3509957;Interior;Canas;1,17E+03;3,95E+01;3,22E+03;3,95E+01
3510005;Interior;Cândido Mota;1,96E+03;2,00E+01;1,33E+04;5,30E+02
3510104;Interior;Cândido Rodrigues;2,21E+03;3,74E+01;3,10E+03;2,24E+02
3510153;Interior;Canitar;1,60E+03;2,00E+01;1,58E+04;4,81E+02
3510203;Interior;Capão Bonito;2,67E+03;9,69E+01;1,05E+04;2,48E+02
3510302;Interior;Capela do Alto;2,07E+03;3,41E+01;6,06E+03;1,56E+02
3510401;Interior;Capivari;3,15E+03;7,38E+01;7,68E+03;1,33E+02
3510500;Interior;Caraguatatuba;3,54E+03;1,12E+02;1,27E+04;2,96E+02
3510609;RMSP (exceto capital);Carapicuíba;3,10E+03;1,12E+02;5,60E+03;1,88E+02
3510708;Interior;Cardoso;2,05E+03;7,68E+01;1,24E+04;4,78E+02
3510807;Interior;Casa Branca;2,78E+03;4,07E+01;8,42E+03;3,29E+02
3510906;Interior;Cássia dos Coqueiros;2,89E+03;0,00E+00;7,25E+03;4,01E+01
3511003;Interior;Castilho;3,35E+03;6,27E+01;8,34E+03;3,67E+02
3511102;Interior;Catanduva;4,23E+03;1,54E+02;9,26E+03;3,83E+02
